tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy,pg_vacancy,n1_vacancy,n2_vacancy,k1_vacancy,k2_vacancy,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks
"na","PT8814","SAFARI HOUSE PRESCHOOL JURONG","PT","Private Operators","CC","68968773","IBP@ZOO-PHONICS.COM.SG","2,INTERNATIONAL BUSINESS PARK,#01-08,STRATEGY, THE,609930","609930","na","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","na","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2020-09-01","na"
"na","PT9724","MY LEARNING HAVEN (MEDIAPOLIS)","PT","Private Operators","CC","69700628","jocelyn.chang@mylearninghaven.com","29,MEDIA CIRCLE,#02-02,ALICE@MEDIAPOLIS,138565","138565","http://www.mylearninghaven.com","Immediate","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (from Non-Halal Sources)","na","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","NC0002","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","info@myfirstskool.com","80,Marine Parade Road,#04-08,Parkway Parade Shopping Centre,449269","449269","www.ntuc-childcare.com","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-09-01","na"
"na","PT9464","MINDCHAMPS PRESCHOOL@FUSION PTE LTD","PT","Private Operators","CC","96349973","BEATRICELIM.FNP@MINDCHAMPS.ORG","1,FUSIONOPOLIS WAY,#03-03,CONNEXIS,138632","138632","na","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","na","No","07:00-19:00","na","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT8704","MINDCHAMPS PRESCHOOL @ JTC SUMMIT PTE. LTD.","PT","Private Operators","CC","68968896","LYNNCHEW.PS@MINDCHAMPS.ORG","8,JURONG TOWN HALL ROAD,#05-01,JTC SUMMIT, THE,609434","609434","na","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","Chinese","No","07:00-19:00","na","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT9468","MINDCHAMPS PRESCHOOL @ BUONA VISTA PTE LTD","PT","Private Operators","CC","66845568","christinaton@mindchamps.org","3,BIOPOLIS DRIVE,#01-11,SYNAPSE,138623","138623","na","na","na","na","na","na","na","Others","Chinese","No","07:00-19:00","na","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT9743","MapleBear Early Development Pte Ltd","PT","Private Operators","CC","91766710","director.icon-ibp@maplebear.sg","3A,INTERNATIONAL BUSINESS PARK,#01-07,ICON@IBP,609935","609935","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","Yes","Yes","No","2020-09-01","na"
"na","PT8754","KIDS MANSION CHILDCARE PTE. LTD.","PT","Private Operators","CC","66599947","BENNYLIM@KIDSMANSION.COM.SG","18,BOON LAY WAY,#01-131,TRADEHUB 21,609966","609966","WWW.KIDSMANSION.COM.SG","Immediate","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","RC0820","IYAD-PERDAUS CHILD DEVELOPMENT CENTRE","RC","Not-for-Profit Organisation","CC","65132310","thahirah@perdaus.org.sg","241,JURONG EAST STREET 24,#01-659,600241","600241","http://www.perdaus.org.sg","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Malay","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","Yes","Yes","Yes","2020-09-01","na"
"na","PT9063","ILHAM CHILD CARE PTE. LTD.","PT","Private Operators","CC","65159723","principal.ilhamcc@gmail.com","18,BOON LAY WAY,#01-121,TRADEHUB 21,609966","609966","na","na","na","na","na","na","na","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Others: Arabic","No","07:00-19:00","07:00-14:00","na","No","Yes","Yes","No","2020-09-01","na"
"na","WP0310","CREATIVE O PRESCHOOLERS' BAY","WP","Workplace","CC","66974168","admin@creative-o.com.sg","31,INTERNATIONAL BUSINESS PARK,#02-01,CREATIVE RESOURCE,609921","609921","www.creative-o.com.sg","na","na","Immediate","Immediate","Immediate","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:30-18:45","na","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT9379","CARPE DIEM CHILDCARE PTE LTD","PT","Private Operators","CC","63459928","mp@carpediem.com.sg","1,MARINE PARADE CENTRAL,#05-01,PARKWAY CENTRE,449408","449408","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","Yes","Yes","Yes","2020-09-01","na"
"na","PT8817","APRICOT ACADEMY (LAGUNA) PTE. LTD.","PT","Private Operators","CC","62459928","sylvia@apricotacademy.com","5000G,MARINE PARADE ROAD,#01-28,LAGUNA PARK,449290","449290","www.apricotacademy.com","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","na","No","07:00-19:00","na","na","No","No","Yes","No","2020-09-01","na"
"na","PT4510","ACE @ WORK EDUCARE PTE LTD","PT","Private Operators","CC","65651611","aceatwork.je.288b@gmail.com","288B,JURONG EAST STREET 21,#01-378,602288","602288","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:30","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"na","PT9426","ACE @ WORK EDUCARE PTE LTD","PT","Private Operators","CC","68023508","ACEATWORKM1@GMAIL.COM","9,INTERNATIONAL BUSINESS PARK,MIWORLD,609915","609915","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:30-19:00","na","na","No","No","Yes","No","2020-09-01","na"
"na","PT8963","VICTORIA MONTESSORI SCHOOLHOUSE PTE. LTD.","PT","Private Operators","CC","67833886","VICTORIAMONTESSORI@YAHOO.COM.SG","823,TAMPINES STREET 81,#02-00,520823","520823","na","na","Immediate","Immediate","Immediate","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","na","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT9472","THE ORANGE ACADEMY (TAMPINES) PTE LTD","PT","Private Operators","CC","62607877","angela_lin@orangeacademy.com.sg","2,TAMPINES CENTRAL 5,#04-08,CENTURY SQUARE,529509","529509","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT9511","THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD","PT","Private Operators","CC","69081239","IVYCHAI@LITTLESKOOLHOUSE.COM","21,TAMPINES AVENUE 1,#01-87,TEMASEK POLYTECHNIC,529757","529757","na","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","Yes","2020-09-01","na"
"na","PT8650","THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD","PT","Private Operators","CC","65877142","francischa@littleskoolhouse.com","300,TAMPINES AVENUE 5,#04-02,NTUC INCOME TAMPINES JUNCTION,529653","529653","na","na","Immediate","Within 1 Year","Within 1 Year","Immediate","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","Yes","Yes","Yes","2020-09-01","na"
"na","PT9119","SUNSHINE KIDS CARE CENTRE @ TAMPINES PTE. LTD.","PT","Private Operators","CC","64836828","sunshinekidstamp@singnet.com.sg","519A,TAMPINES CENTRAL 8,#01-11,521519","521519","na","Within 1 Year","Within 1 Year","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2020-09-01","na"
"na","PT9261","SUNFLOWER KIDDY STAR PRESCHOOL PTE LTD","PT","Private Operators","CC","67891033","PATN@SUNFLOWERKIDDYSTAR.COM","896,TAMPINES STREET 81,#01-876,520896","520896","na","na","More than 1 Year","More than 1 Year","Immediate","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"na","PT9189","STAR LEARNERS @ TAMPINES PTE. LTD.","PT","Private Operators","CC","62500173","mengwei.tan@starlearners.com.sg","241,TAMPINES STREET 21,#01-435,520241","520241","na","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"na","PT9463","STAR LEARNERS @ TAMPINES EAST PTE LTD","PT","Private Operators","CC","62500173","mengwei.tan@starlearners.com.sg","297,TAMPINES STREET 22,#01-576,520297","520297","na","na","Within 1 Year","Within 1 Year","Within 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"na","PT9318","STAR LEARNERS @ CHANGI SIMEI PTE. LTD.","PT","Private Operators","CC","62500173","MENGWEI.TAN@STARLEARNERS.COM.SG","114,SIMEI STREET 1,#01-614,520114","520114","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"TP0219","SK0022","SKOOL4KIDZ CENTRE","SK","Skool4Kidz Pte Ltd","CC","69312961","yvetteyeo@skool4kidz.com.sg","606B,TAMPINES STREET 61,#01-404,TAMPINES GREENRIDGES,522606","522606","skool4kidz.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-09-01","na"
"na","SK0013","SKOOL4KIDZ CENTRE","SK","Skool4Kidz Pte Ltd","CC","68173895","TPGFCC@SKOOL4KIDZ.COM.SG","878C,TAMPINES AVENUE 8,#02-65,TAMPINES GREEN FOREST,523878","523878","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-09-01","na"
"na","RC0990","SGM MURNI","RC","Not-for-Profit Organisation","CC","62601894","naseem_sultanah_abdul_gaffoor@sgmcoop.org.sg","411,TAMPINES STREET 41,#01-241,520411","520411","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Malay","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT8587","PICKET FENCE @ TAMPINES PTE. LTD.","PT","Private Operators","CC","67843324","susie@picketfenceeducation.com","817,TAMPINES STREET 81,#01-588,520817","520817","www.picketfenceeducation.com","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT8741","NURTURESTARS PTE. LTD.","PT","Private Operators","CC","67898393","enquirytm@nurturestars.sg","1A,TAMPINES STREET 92,SAFRA TAMPINES CLUBHOUSE,528882","528882","www.nurturestars.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","na","No","No","Yes","Yes","2020-09-01","na"
"na","YM0100","MY WORLD PRESCHOOL LTD.","YM","MY World Preschool Ltd","CC","67842674","ccsme@myworld.org.sg","123,SIMEI STREET 1,#01-402,520123","520123","www.myworld.org.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-09-01","na"
"na","RC1150","MORIAH CHILD CARE AND DEVELOPMENT CENTRE","RC","Not-for-Profit Organisation","CC","67884436","moriahchildcare@singnet.com.sg","31,SIMEI ROAD,529974","529974","na","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT8609","MINDCHAMPS PRESCHOOL @ TAMPINES CENTRAL 6 PTE. LTD.","PT","Private Operators","CC","62600531","choimei@mindchamps.org","2,TAMPINES CENTRAL 6,#02-00,NTUC INCOME TAMPINES POINT,529483","529483","www.mindchampspreschool.org","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","na","na","No","Yes","Yes","Yes","2020-09-01","na"
"na","PT5890","MARIS KIDZ SCHOOLHOUSE","PT","Private Operators","CC","67869670","simei@mariskidz.com","165,SIMEI ROAD,#01-362,520165","520165","www.mariskidz.com","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT9696","KIDSCAMPUS (CHANGI SIMEI) PTE LTD","PT","Private Operators","CC","62261126","INFO@KIDSCAMPUS.SG","10,SIMEI STREET 2,#04-01,529915","529915","na","Immediate","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT8546","JUST KIDS @ TAMPINES PTE. LTD.","PT","Private Operators","CC","67843833","TAMPINES@JUSTKIDS.COM.SG","305,TAMPINES STREET 32,#01-80,520305","520305","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"na","PT8501","IMAN CHILDCARE (SIMEI) PTE. LTD.","PT","Private Operators","CC","91092442","ahmad@iman.edu.sg","154,SIMEI STREET 1,#01-75,520154","520154","www.iman.edu.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Others: Arabic","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT9092","HAPPY KIDS CHILDCARE & DEVELOPMENT CENTRE","PT","Private Operators","CC","67864998","hkidstam@hotmail.com","882,TAMPINES STREET 84,521882","521882","na","na","Within 1 Year","More than 1 Year","Within 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT8547","HAPPY FAMILY EDU-HUB PTE. LTD.","PT","Private Operators","CC","67877898","tphappyfamily@hotmail.com","493E,TAMPINES STREET 43,#01-334,524493","524493","na","Immediate","Within 1 Year","Within 1 Year","Within 1 Year","Within 1 Year","Within 1 Year","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT9523","GUG PRESCHOOL @ TAMPINES PTE LTD","PT","Private Operators","CC","67884722","adil.goh@gugifted.com","300,TAMPINES AVENUE 5,#07-01,INCOME AT TAMPINES JUNCTION,529653","529653","www.gugifted.com","na","Immediate","Immediate","Immediate","Immediate","Immediate","Halal Food With No Beef (with Certification from MUIS)","Chinese","No","07:00-19:00","na","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT8882","GENESIS CHILD CARE (TP) PTE. LTD.","PT","Private Operators","CC","96664141","joseph@nurtureeducation.com","433,TAMPINES STREET 43,#01-61,520433","520433","www.genesisgroup.sg","Within 1 Year","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT9078","CHILDFIRST@TAMPINES PTE. LTD.","PT","Private Operators","CC","62604466","tampines@childfirst.com.sg","3,TAMPINES CENTRAL 1,#05-01,TAMPINES PLAZA 1,529540","529540","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","Yes","Yes","Yes","2020-09-01","na"
"na","WP0300","CHANGI GENERAL HOSPITAL CHILD CARE CENTRE","WP","Workplace","CC","91247075","de_silva_brenda_lea_ann@cgh.com.sg","2A,SIMEI STREET 3,#05Medical Center,529906","529906","na","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","Chinese","No","07:00-19:00","07:30-14:00","na","No","No","Yes","Yes","2020-09-01","na"
"na","PT8461","CARPE DIEM YOUNG MINDS PTE. LTD.","PT","Private Operators","CC","67863954","ntanglee@gmail.com","219,TAMPINES STREET 24,#01-28,520219","520219","www.carpediem.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"na","PT8480","CARPE DIEM YOUNG HEARTS PTE. LTD.","PT","Private Operators","CC","67845742","jasminechua603@gmail.com","355,TAMPINES STREET 33,#01-638,520355","520355","www.carpediem.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","Partner Operator Scheme","No","No","Yes","No","2020-09-01","na"
"na","RC0980","abc children'S place","RC","Not-for-Profit Organisation","CC","67858586","abcchnpl_tamp@yahoo.com","878,TAMPINES AVENUE 8,#01-308,520878","520878","http://www.fpmtabc.org/outreach_childcare.php","na","na","na","na","na","na","Vegetarian","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-09-01","na"
"na","PT9115","HUDA CHILDCARE (WOODLANDS11) PTE. LTD.","PT","Private Operators","CC","63343119","SSAM97@HOTMAIL.COM","11,WOODLANDS CLOSE,#01-19,WOODLANDS 11,737853","737853","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Malay","No","07:00-19:00","07:00-14:00","na","No","Yes","Yes","No","2020-08-31","na"
"na","PT9738","Huda Childcare (WRR) Pte Ltd","PT","Private Operators","CC","65929918","suhudachildcare@gmail.com","11,WOODLANDS CLOSE,#01-03,WOODLANDS 11,737853","737853","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Malay","No","07:00-19:00","07:00-14:00","na","No","Yes","Yes","No","2020-08-31","na"
"na","PT8805","IMAN CHILDCARE ( WOODGROVE) PTE. LTD.","PT","Private Operators","CC","63694436","nurliyana@iman.edu.sg","5,WOODGROVE AVENUE,738405","738405","www.iman.edu.sg","na","na","na","na","na","na","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Others: Arabic","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-08-31","na"
"na","PT9653","The Montessori Playroom Kindergarten","PT","Private Operators","KN","93366806","jake@montessori-playroom.com","806,HOUGANG CENTRAL,#04-144,530806","530806","www.montessori-playroom.com","na","na","Immediate","Immediate","Immediate","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","08:30-16:00","na","na","No","Yes","Yes","No","2020-08-30","na"
"na","PT9302","SUNFLOWER PRESCHOOL @ BEDOK PTE LTD","PT","Private Operators","CC","62418785","sfjuliechew@gmail.com","215,BEDOK NORTH STREET 1,#01-83,460215","460215","www.sunflowerkid.com","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0341","PCF Sparkletots Preschool @ Sembawang West Blk 789 (KN)","ST","PAP Community Foundation","KN","63637978","SB.KN.789@pcf.org.sg","789,Woodlands Avenue 6,#01-663,730789","730789","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","PT9169","ICHIBAN MONTESSORI KIDDIE KOLLEGE PTE. LTD.","PT","Private Operators","CC","67622005","ICB_631@YAHOO.COM","631,SENJA ROAD,#01-228,670631","670631","www.ichibanmontessori.com.sg","na","More than 1 Year","More than 1 Year","Within 1 Year","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","PT9390","CHILDREN'S COVE PRESCHOOL PTE.LTD.","PT","Private Operators","CC","97697702","JOANNE@CHILDRENSCOVE.SG","58,JALAN PENJARA,149382","149382","www.childrenscove.sg","na","na","na","na","na","na","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese|Others: JAPANESE","Yes","07:00-19:00","07:00-14:00","na","No","Yes","Yes","Yes","2020-08-28","na"
"na","PT9601","MONTE KIDZ WORLD","PT","Private Operators","KN","65853326","principal@montekidz.com.sg","625,ELIAS ROAD,#02-330,ELIAS MALL,510625","510625","www.montekidz.com.sg","na","na","na","na","na","na","na","Chinese","No","08:30-16:30","na","na","No","No","Yes","No","2020-08-28","na"
"na","ST0345","PCF Sparkletots Preschool @ Sembawang Central Blk 309 (KN)","ST","PAP Community Foundation","KN","64820633","GB.KN.309@pcf.org.sg","309,Canberra Road,#01-109,750309","750309","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0201","PCF Sparkletots Preschool @ Sembawang Central Blk 115B (CC)","ST","PAP Community Foundation","CC","69639843","GB.CC.115B@pcf.org.sg","115B,CANBERRA WALK,#01-137,EASTLACE @ CANBERRA,752115","752115","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0182","PCF Sparkletots Preschool @ Sembawang Central Blk 105 (CC)","ST","PAP Community Foundation","CC","62001131","GB.CC.105@pcf.org.sg","105,CANBERRA STREET,#03-01,750105","750105","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0295","PCF Sparkletots Preschool @ Bishan East-Sin Ming Blk 197 (KN)","ST","PAP Community Foundation","KN","62590542","BE.KN.197@pcf.org.sg","197,Bishan Street 13,#01-567,570197","570197","na","na","na","na","na","na","na","na","Chinese|Tamil","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0078","PCF Sparkletots Preschool @ Bishan East-Sin Ming Blk 181 (CC)","ST","PAP Community Foundation","CC","63525219","BE.CC.181@pcf.org.sg","181,BISHAN STREET 13,#01-251,570181","570181","na","Within 1 Year","More than 1 Year","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0008","PCF Sparkletots Preschool @ Sengkang East Blk 194 (CC)","ST","PAP Community Foundation","CC","63120175","PE.CC.194@pcf.org.sg","194,RIVERVALE DRIVE,#01-771,540194","540194","na","Immediate","More than 1 Year","More than 1 Year","Within 1 Year","Within 1 Year","Within 1 Year","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0200","PCF Sparkletots Preschool @ Fernvale Blk 443 (EY)","ST","PAP Community Foundation","EYC-DS","66366816","PT.EY.443@pcf.org.sg","443,FERNVALE ROAD,#01-411,FERNVALE VISTA,791443","791443","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0085","PCF Sparkletots Preschool @ Sengkang East Blk 123A (CC)","ST","PAP Community Foundation","CC","63857855","PE.CC.123A@pcf.org.sg","123A,RIVERVALE DRIVE,#01-133,541123","541123","na","Immediate","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0131","PCF Sparkletots Preschool @ Marymount Blk 257 (CC)","ST","PAP Community Foundation","CC","64584348","BH.CC.257@pcf.org.sg","257,BISHAN STREET 22,#01-347,570257","570257","na","na","Immediate","Immediate","Immediate","Immediate","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0296","PCF Sparkletots Preschool @ Marymount Blk 231 (DS)","ST","PAP Community Foundation","DS","64549608","BH.DS.231@pcf.org.sg","231,Bishan Street 23,#01-21,570231","570231","na","na","Immediate","Immediate","Immediate","Within 1 Year","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-28","na"
"na","ST0379","PCF Sparkletots Preschool @ Toa Payoh East Blk 261A (EY)","ST","PAP Community Foundation","EYC-DS","62641961","TT.EY.261A@pcf.org.sg","261A,Toa Payoh East,#01-02,TOA PAYOH APEX,311261","311261","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-08-27","na"
